price,rsi,vol,DateTime
1075.90,64.1472,204,29/10/2018 10:26:00
1075.70,62.1323,586,29/10/2018 10:27:00
1075.70,62.1323,183,29/10/2018 10:28:00
1075.70,62.1323,321,29/10/2018 10:29:00
1076.90,69.3475,1887,29/10/2018 10:30:00
1077.00,69.8628,1673,29/10/2018 10:31:00
1077.40,71.8980,674,29/10/2018 10:32:00
1077.20,69.3753,1009,29/10/2018 10:33:00
1077.50,71.0180,712,29/10/2018 10:34:00
1079.50,79.0758,2949,29/10/2018 10:35:00
1080.60,82.0343,2144,29/10/2018 10:36:00
1080.30,78.7634,936,29/10/2018 10:37:00
1079.40,69.7751,708,29/10/2018 10:38:00
1078.60,62.9035,672,29/10/2018 10:39:00
1078.30,60.4974,1119,29/10/2018 10:40:00
1078.80,63.0352,616,29/10/2018 10:41:00
1078.30,58.9563,493,29/10/2018 10:42:00
1078.70,61.1236,281,29/10/2018 10:43:00
1078.50,59.4337,384,29/10/2018 10:44:00
1079.50,64.6903,901,29/10/2018 10:45:00
1078.70,58.1936,267,29/10/2018 10:46:00
1077.30,48.9324,1046,29/10/2018 10:47:00
1077.30,48.9324,1540,29/10/2018 10:48:00
1077.20,48.2956,468,29/10/2018 10:49:00
1077.00,46.9790,469,29/10/2018 10:50:00
1077.00,46.9790,359,29/10/2018 10:51:00
1077.20,48.6040,200,29/10/2018 10:52:00
1077.30,49.4384,71,29/10/2018 10:53:00
1078.00,54.9518,490,29/10/2018 10:54:00
1078.00,54.9518,500,29/10/2018 10:55:00
1078.30,57.2678,309,29/10/2018 10:56:00
1078.10,55.2292,264,29/10/2018 10:57:00
1078.20,56.0712,263,29/10/2018 10:58:00
1078.50,58.5875,191,29/10/2018 10:59:00
1078.40,57.4071,357,29/10/2018 11:00:00
1078.30,56.1879,313,29/10/2018 11:01:00
1077.20,44.8936,442,29/10/2018 11:02:00
1077.00,43.1935,233,29/10/2018 11:03:00
1077.80,51.1605,173,29/10/2018 11:04:00
1078.10,53.7784,296,29/10/2018 11:05:00
1078.10,53.7784,267,29/10/2018 11:06:00
1077.40,46.9658,156,29/10/2018 11:07:00
1077.40,46.9658,549,29/10/2018 11:08:00
1077.40,46.9658,149,29/10/2018 11:09:00
1076.80,41.3571,279,29/10/2018 11:10:00
1077.00,43.7677,286,29/10/2018 11:11:00
1076.90,42.8199,251,29/10/2018 11:12:00
1077.00,44.1230,148,29/10/2018 11:13:00
1077.50,50.2304,199,29/10/2018 11:14:00
1078.00,55.4717,380,29/10/2018 11:15:00
